Top_left_x,Top_left_y,Top_right_x,Top_right_y,Bottom_left_x,Bottom_left_y,Bottom_right_x,Bottom_right_y,FR1_x,FR1_y,FR2_x,FR2_y,FG1_x,FG1_y,FG2_x,FG2_y,FB1_x,FB1_y,FB2_x,FB2_y,tf_FR1_x,tf_FR1_y,tf_FR2_x,tf_FR2_y,tf_FG1_x,tf_FG1_y,tf_FG2_x,tf_FG2_y,tf_FB1_x,tf_FB1_y,tf_FB2_x,tf_FB2_y,Bending_Coefficient,Bending_Binary,IFF,Spikes,Spikes_Filled
720.01764,279.78528,794.54517,238.63991,754.28784,354.46756,828.46954,303.80136,691.9812,287.08835,702.3613,305.00558,716.5252,321.33524,730.4797,326.8075,763.3581,314.8805,779.63995,301.08224,-58.801666,217.78787,-54.23967,166.65388,-41.649235,115.0408,-20.629066,86.196785,52.44705,67.997025,98.60771,75.45037,0.01782203839711353,1.0,47.393364,1,1
721.1676,278.96237,795.4651,237.64774,755.1529,353.56076,829.40137,302.91525,687.3148,283.19873,700.56433,298.23596,719.3108,312.86963,731.14624,316.67325,763.6579,309.68433,780.3367,300.18704,-67.53627,231.84767,-55.16762,183.02486,-32.456367,128.67773,-13.570705,105.708405,55.346703,77.891304,98.28295,75.69093,0.011820574909874202,0.0,56.1797752,2,1
722.1429,277.5689,795.78625,237.34528,755.9034,353.0509,829.8083,302.66077,675.83685,274.14258,693.49634,280.20145,714.8252,287.32928,728.89954,290.44675,757.8251,295.6857,774.58203,297.19308,-85.12474,262.76422,-57.074024,228.62875,-22.541227,187.21739,1.9371382,162.98906,54.4715,114.618324,87.213974,89.17369,0.0016715767591916023,0.0,56.1797752,2,1
722.9126,277.3888,796.9715,238.00897,757.0561,353.58453,830.8556,303.12732,625.4758,262.9139,644.6462,268.6122,668.7339,275.54333,682.91724,278.00507,715.7065,281.9857,732.40594,283.8103,-164.22804,338.80112,-135.57497,306.58655,-98.57918,265.68396,-75.12489,244.67383,-17.712624,198.30385,12.810972,174.24442,0.0014145515262249532,0.0,24.9687881,1,1
728.5083,276.9217,802.5696,235.55548,762.4768,350.62747,836.06104,300.00323,706.16846,287.04428,716.99817,307.59314,732.33936,326.50577,744.42865,331.69946,774.2749,312.10104,785.08563,297.42422,-50.871613,205.17073,-47.772556,147.36757,-35.213818,88.393616,-17.337196,62.03192,57.29515,62.752785,93.50852,79.512566,0.025636176805719234,1.0,400.0,5,5
728.084,276.5364,801.7134,235.51561,761.36554,350.0853,835.22845,300.04388,709.67975,288.78192,719.226,310.1704,733.40436,328.46814,745.01294,333.83508,735.6597,329.6381,784.23517,297.23517,-46.002827,195.5609,-45.582817,136.97867,-34.12617,80.46751,-16.934181,54.348267,-30.896837,75.14098,93.78078,79.13622,0.02986875141413183,1.0,89.2857132,2,2
726.8817,276.73376,800.87506,235.52963,760.4481,350.97964,834.248,299.80853,701.8899,287.2137,715.85724,305.29028,731.6632,320.30713,742.8087,324.55527,771.73517,310.4036,783.53406,296.683,-55.799335,207.54642,-44.575047,151.1614,-27.694504,99.58896,-10.614026,76.35778,57.366802,67.17772,94.50139,80.48457,0.01933619896625165,1.0,54.4959145,2,2
726.21796,275.95905,800.05646,235.19765,760.17554,350.37286,833.50287,299.9116,685.63257,276.9935,702.54297,282.37958,721.26697,288.35895,733.0939,290.46872,764.3233,294.9324,779.37054,295.2534,-77.02115,246.43982,-50.326168,214.56958,-20.256165,178.61983,0.4898979,159.2054,57.878193,108.905174,88.253685,87.87891,0.0020129927181110796,0.0,57.6368866,2,2
725.6752,276.18375,799.5744,234.9425,759.504,350.87183,832.6056,299.7102,658.03625,272.76205,675.70264,279.47028,698.92944,286.58484,712.3834,289.93893,748.06195,298.2739,764.9715,300.5182,-120.76552,287.0493,-94.833145,252.45999,-58.71931,209.77385,-36.743828,186.19766,23.8424,122.93958,55.144867,95.59024,0.0011373031142107178,0.0,49.8753128,1,1
727.9582,273.02713,797.86017,226.28397,759.45154,344.83945,831.9091,291.4781,698.00354,224.00435,707.8251,246.44319,722.00946,267.40808,734.03613,274.52264,764.7748,267.79388,780.6445,254.0885,-18.567902,365.2478,-18.23035,293.88043,-7.3589845,222.08755,11.388195,187.2742,82.90034,155.22128,131.15364,161.82034,0.022436993751580012,1.0,0.1693222,0,0
728.4719,284.68723,798.8348,240.21901,763.15356,357.99716,833.7602,304.15396,709.1654,294.69086,717.6487,315.62186,730.3912,334.99042,743.16925,343.46902,778.83716,335.6376,796.7586,323.0392,-46.68651,204.76817,-48.630047,148.58455,-41.287563,91.39703,-24.719065,56.63722,51.008457,20.384834,99.816956,18.746094,0.020119354024741617,1.0,9.9255581,1,1
729.89325,284.876,800.7775,239.81285,765.07697,358.12924,835.54803,304.2969,714.54144,296.28708,721.4444,318.33823,733.26843,338.30457,746.1972,346.7548,781.35895,337.04785,798.544,323.4088,-40.093678,196.46414,-46.45719,140.79315,-41.787712,84.07871,-25.175274,49.194016,51.166397,17.020672,99.567474,18.47524,0.023325402925464627,1.0,9.9255581,0,1
732.9254,284.4416,803.47363,239.94328,767.90546,358.36993,837.99774,303.76288,700.9119,287.98862,714.41473,298.49112,784.0296,323.5913,777.82355,318.70917,786.7497,323.1105,802.43024,322.31055,-64.1034,235.49417,-47.82727,194.9422,63.610413,43.80068,56.029186,62.986794,69.54896,40.67801,102.32812,18.351591,0.003643519597913855,0.0,9.9255581,1,1
