Top_left_x,Top_left_y,Top_right_x,Top_right_y,Bottom_left_x,Bottom_left_y,Bottom_right_x,Bottom_right_y,FR1_x,FR1_y,FR2_x,FR2_y,FG1_x,FG1_y,FG2_x,FG2_y,FB1_x,FB1_y,FB2_x,FB2_y,tf_FR1_x,tf_FR1_y,tf_FR2_x,tf_FR2_y,tf_FG1_x,tf_FG1_y,tf_FG2_x,tf_FG2_y,tf_FB1_x,tf_FB1_y,tf_FB2_x,tf_FB2_y,Bending_Coefficient,Bending_Binary,IFF,Spikes,Spikes_Filled
554.41266,289.03955,666.3728,272.51443,569.64716,394.22043,687.0709,362.77924,540.99866,255.67169,550.015,285.7258,561.6891,306.9034,582.8306,325.56696,604.0717,329.7474,626.2885,325.93945,-13.374048,272.01035,-5.9998717,207.9328,7.130644,162.35693,35.320274,118.71073,67.98561,102.456665,106.029884,101.03489,0.01945241893990454,1,7.3179655,0,1
553.8887,291.8131,665.7186,274.2974,569.7925,396.84262,686.6827,364.455,524.03094,226.62009,542.16,246.75703,558.0782,263.08203,577.57166,282.1044,597.6093,298.58618,613.5031,308.3421,-31.444092,343.28125,-7.7229652,296.21365,13.46511,257.6975,39.772427,212.36458,67.8918,171.76834,91.49342,145.98816,0.003155665455002138,0,7.3179655,1,1
564.45166,289.64453,677.7154,271.44016,580.70807,394.82922,698.88776,362.4273,548.88184,246.18637,558.97076,273.55508,571.595,295.4518,590.2481,315.43958,616.512,322.86847,640.85803,323.03168,-13.753715,293.1837,-4.5911255,233.95953,9.517284,186.16792,33.260174,140.40881,72.86215,115.717834,113.156334,105.34045,0.0158268801075685,0,1.4626298,0,0
566.4318,289.0637,677.8249,271.735,581.1344,394.81882,699.58905,362.65384,554.9978,257.22424,560.2423,288.64923,568.405,311.84705,589.04974,330.2515,615.2217,331.78442,640.5748,324.43314,-11.102488,269.42892,-9.458959,202.76947,-1.8138989,154.28462,25.664713,111.4595,66.54567,98.15608,110.85614,102.09416,0.023061679365017206,1,1.4626298,0,0
566.4217,288.47723,677.5262,271.78525,581.1037,394.73672,699.48596,362.8067,557.89417,262.14655,561.897,293.6604,569.52167,318.1598,591.1282,336.45755,616.26135,334.50653,640.7724,324.0811,-7.731029,256.8394,-8.052506,190.99184,-1.5115361,140.7501,27.324778,98.2754,67.3896,92.01363,111.33627,102.35334,0.025609805451159488,1,1.4626298,0,0
564.13965,288.05246,677.85876,271.5348,581.38934,394.49994,699.3628,362.12195,560.25024,264.26968,564.9136,297.07938,571.8567,321.46024,592.86664,339.37186,618.0961,335.78784,640.945,324.02438,-0.053651642,248.47722,-1.0206205,182.19545,3.370758,133.55823,30.08917,92.433975,70.16746,89.06977,111.53923,102.61625,0.028412694168076794,1,3.6805301,1,1
564.2165,287.99667,677.8643,271.40295,580.9824,394.4795,699.564,362.32843,560.9344,265.60507,565.35455,298.62903,572.9511,322.27243,593.30194,340.43472,618.0997,336.50037,640.9223,324.0964,0.37106255,245.79793,-0.7977266,178.88234,4.9069047,131.32364,30.771326,89.95854,70.27358,87.43985,111.70293,102.24457,0.02893597575502088,1,3.6805301,0,1
563.4665,288.4389,677.7759,271.76617,581.2151,394.4698,699.6005,362.31473,561.2256,264.96448,565.7208,298.0484,573.6403,322.12918,594.88184,340.7013,618.9099,335.79105,640.94775,324.2118,2.5515356,247.49222,0.95485765,180.59653,6.631749,132.07106,33.378838,89.46882,71.99584,89.08429,111.93254,102.68188,0.029038504760405093,1,3.6805301,0,1
562.8848,288.9301,677.8457,271.60806,581.409,394.6055,699.81946,363.1743,562.0516,262.86862,566.79016,297.01312,575.9409,320.2302,596.5634,337.5856,620.28,334.84195,640.9603,324.63605,5.675705,251.97308,3.706934,183.12825,11.187927,135.77763,37.42981,95.55586,75.24506,91.339836,112.549446,102.8327,0.02857065710660251,1,3.6805301,0,1
563.01355,289.94363,677.92267,271.57056,580.95605,395.0567,699.43024,363.00885,562.8264,259.33267,567.8041,291.75418,578.8115,315.00226,597.90826,333.64792,620.9673,333.09332,640.8453,324.36224,7.7117224,261.2709,6.7356043,194.94112,17.206852,146.17781,41.14597,103.439575,77.50226,95.09521,112.99411,103.864395,0.02791687378733753,1,3.6805301,0,1
563.4039,290.32663,677.0951,272.68732,580.05145,396.08627,698.86304,363.7798,561.4632,254.15718,570.16223,285.89868,581.60645,308.42963,600.16425,326.8188,621.2516,329.72348,640.3675,324.83667,5.834897,274.36935,11.375047,206.76222,23.231289,158.47038,47.017975,116.10997,79.66269,102.14625,112.852615,103.88796,0.02439607669079885,1,3.6805301,0,1
562.0002,290.1285,675.13086,271.92065,578.3678,395.90204,696.46045,363.11298,535.7177,216.85344,553.67004,238.65065,570.7997,255.33612,592.7027,274.90073,614.59375,291.5666,632.59985,301.73077,-23.528286,358.83536,-0.57294357,308.11026,22.355034,268.47287,52.338898,221.19745,83.493,179.4505,110.664314,151.92236,0.003634332324373369,0,3.6805301,1,1
561.6027,294.0393,671.4699,277.88962,575.6871,400.574,692.6485,368.23038,545.0476,257.14154,552.83453,285.89447,564.0431,307.47,583.6963,326.2647,609.85474,332.13214,634.9077,330.55518,-18.558815,281.09488,-11.957989,219.02715,1.022423,172.4867,27.444519,129.17886,67.89367,107.907616,110.62021,100.89251,0.017742128624938628,1,68.4931488,1,1
561.3671,295.89233,672.1299,278.5084,576.65857,400.72162,693.28625,368.80362,550.2498,267.50244,553.0472,297.6409,560.76416,321.4228,581.90436,339.54837,609.00256,339.95517,635.30145,332.3969,-11.023604,261.6926,-13.2187195,199.11572,-6.576756,149.91418,21.603594,107.39862,64.3943,95.65871,110.68944,99.44661,0.022397517519197045,1,68.4931488,1,1
562.93066,297.32172,673.19617,279.47656,577.7033,401.18326,694.6264,369.33124,554.78394,272.96902,555.8827,304.8581,561.244,328.37366,583.5302,345.47043,610.13226,343.91077,636.6944,332.7833,-7.487245,253.41582,-12.6007,187.08315,-9.305834,138.92442,21.02547,97.55569,63.560497,89.44606,111.40094,99.999825,0.023544258990224765,1,34.6020775,1,1
562.7807,298.45856,673.4338,280.69434,577.7624,402.14563,694.63104,370.4642,555.5051,275.73474,556.84625,307.62146,562.51184,330.11218,583.89813,347.74402,610.4225,345.79352,636.6749,333.97308,-6.344366,249.49004,-11.212766,183.4682,-7.365663,137.3285,21.34001,95.31389,63.768536,87.99253,111.2378,100.09989,0.02453138023480188,1,34.6020775,1,1
